"","patent_id","ipc_section"
"594","10000383","C"
"595","10000384","C"
"596","10000384","B"
"597","10000385","B"
"598","10000385","C"
"599","10000385","H"
"600","10000386","B"
"601","10000386","C"
"602","10000386","H"
"603","10000387","C"
"604","10000387","B"
"605","10000388","C"
"606","10000389","C"
"607","10000389","B"
"608","10000390","C"
"609","10000390","D"
"610","10000391","B"
"611","10000391","C"
"612","10000392","C"
"613","10000392","B"
"614","10000392","F"
"615","10000393","C"
"616","10000394","C"
"617","10000394","B"
"618","10000395","C"
"619","10000395","B"
"620","10000395","A"
"621","10000396","C"
"622","10000397","C"
"623","10000398","E"
"624","10000398","C"
"625","10000399","C"
"626","10000400","C"
"627","10000400","B"
"628","10000400","D"
"629","10000401","C"
"630","10000401","B"
"631","10000402","C"
"632","10000402","A"
"633","10000403","B"
"634","10000403","C"
"635","10000403","F"
"636","10000403","G"
"637","10000404","C"
"638","10000405","C"
"639","10000405","B"
"640","10000407","E"
"641","10000407","C"
"642","10000408","C"
"643","10000409","B"
"644","10000409","C"
"645","10000410","C"
"646","10000411","E"
"647","10000411","C"
"648","10000411","B"
"649","10000412","C"
"650","10000413","C"
"651","10000414","C"
"652","10000415","C"
"653","10000415","F"
"654","10000416","C"
"655","10000417","C"
"656","10000418","C"
"657","10000418","B"
"658","10000419","C"
"659","10000420","C"
"660","10000420","B"
"661","10000421","C"
"662","10000422","C"
"663","10000423","C"
"664","10000423","B"
"665","10000424","C"
"666","10000425","C"
"667","10000425","F"
"668","10000426","C"
"669","10000426","B"
"670","10000427","C"
"671","10000428","C"
"672","10000429","C"
"673","10000430","C"
"674","10000430","B"
"675","10000431","C"
"676","10000432","C"
"677","10000433","C"
"678","10000435","C"
"679","10000436","C"
"680","10000437","C"
"681","10000437","A"
"682","10000438","C"
"683","10000438","A"
"684","10000439","C"
"685","10000440","C"
"686","10000442","C"
"687","10000443","C"
"688","10000443","A"
"689","10000444","C"
"690","10000445","A"
"691","10000445","C"
"692","10000446","C"
"693","10000447","C"
"694","10000447","A"
"695","10000448","C"
"696","10000448","B"
"697","10000449","C"
"698","10000449","A"
"699","10000450","C"
"700","10000450","A"
"701","10000451","C"
"702","10000451","A"
"703","10000452","C"
"704","10000453","C"
"705","10000453","B"
"706","10000454","C"
"707","10000454","A"
"708","10000455","C"
"709","10000456","C"
"710","10000457","C"
"711","10000458","C"
"712","10000459","C"
"713","10000460","C"
"714","10000460","B"
"715","10000461","C"
"716","10000462","C"
"717","10000462","H"
"718","10000463","C"
"719","10000463","A"
"720","10000464","C"
"721","10000465","C"
"722","10000466","A"
"723","10000466","C"
"724","10000467","C"
"725","10000467","A"
"726","10000467","G"
"727","10000468","C"
"728","10000469","C"
"729","10000469","A"
"730","10000470","C"
"731","10000471","C"
"732","10000472","C"
"733","10000472","G"
"734","10000473","C"
"735","10000474","C"
"736","10000474","A"
"737","10000475","C"
"738","10000476","A"
"739","10000476","C"
"740","10000477","C"
"741","10000478","C"
"742","10000478","A"
"743","10000479","C"
"744","10000480","C"
"745","10000481","C"
"746","10000481","A"
"747","10000482","C"
"748","10000482","A"
"749","10000483","C"
"750","10000484","A"
"751","10000484","C"
"752","10000486","C"
"753","10000487","C"
"754","10000488","C"
"755","10000489","C"
"756","10000490","C"
"757","10000490","A"
"758","10000491","C"
"759","10000492","C"
"760","10000493","C"
"761","10000494","C"
"762","10000495","C"
"763","10000496","C"
"764","10000496","A"
"765","10000497","C"
"766","10000497","A"
"767","10000498","C"
"768","10000498","A"
"769","10000499","A"
"770","10000499","C"
"771","10000500","C"
"772","10000500","A"
"773","10000501","C"
"774","10000502","C"
"775","10000502","A"
"776","10000503","H"
"777","10000503","C"
"778","10000503","B"
"779","10000504","C"
"780","10000505","A"
"781","10000505","C"
"782","10000506","C"
"783","10000506","A"
"784","10000507","C"
"785","10000508","C"
"786","10000508","A"
"787","10000509","C"
"788","10000509","A"
"789","10000510","C"
"790","10000511","C"
"791","10000512","A"
"792","10000512","C"
"793","10000513","C"
"794","10000513","H"
"795","10000514","C"
"796","10000515","C"
"797","10000515","B"
"798","10000516","C"
"799","10000517","C"
"800","10000517","H"
"801","10000518","C"
"802","10000519","C"
"803","10000520","C"
"804","10000521","A"
"805","10000521","C"
"806","10000522","C"
"807","10000523","A"
"808","10000523","C"
"809","10000524","C"
"810","10000525","A"
"811","10000525","C"
"812","10000526","A"
"813","10000526","C"
"814","10000527","A"
"815","10000527","C"
"816","10000528","A"
"817","10000528","C"
"818","10000529","C"
"819","10000531","C"
"820","10000531","A"
"821","10000532","C"
"822","10000532","A"
"823","10000533","C"
"824","10000533","G"
"825","10000533","A"
"826","10000534","A"
"827","10000534","C"
"828","10000535","A"
"829","10000535","C"
"830","10000536","C"
"831","10000536","B"
"832","10000537","C"
"833","10000538","A"
"834","10000538","C"
"835","10000539","A"
"836","10000539","C"
"837","10000539","G"
"838","10000540","C"
"839","10000540","A"
"840","10000541","C"
"841","10000541","A"
"842","10000542","A"
"843","10000542","C"
"844","10000543","C"
"845","10000543","A"
"846","10000544","C"
"847","10000545","A"
"848","10000545","C"
"849","10000545","G"
"850","10000546","C"
"851","10000546","A"
"852","10000547","A"
"853","10000547","C"
"854","10000547","G"
"855","10000548","A"
"856","10000548","C"
"857","10000549","C"
"858","10000549","A"
"859","10000550","C"
"860","10000551","A"
"861","10000551","C"
"862","10000552","C"
"863","10000553","C"
"864","10000553","A"
"865","10000554","C"
"866","10000554","A"
"867","10000555","C"
"868","10000555","A"
"869","10000556","C"
"870","10000556","G"
"871","10000556","A"
"872","10000557","C"
"873","10000557","G"
"874","10000558","A"
"875","10000558","C"
"876","10000558","G"
"877","10000559","C"
"878","10000559","A"
"879","10000560","C"
"880","10000560","G"
"881","10000560","A"
"882","10000561","C"
"883","10000561","A"
"884","10000562","C"
"885","10000562","A"
"886","10000563","A"
"887","10000563","C"
"888","10000563","G"
"889","10000564","A"
"890","10000564","C"
"891","10000565","C"
"892","10000565","A"
"893","10000566","C"
"894","10000566","A"
"895","10000567","C"
"896","10000567","A"
"897","10000568","C"
"898","10000568","G"
"899","10000569","C"
"900","10000569","A"
"901","10000570","C"
"902","10000570","A"
"903","10000571","C"
"904","10000571","A"
"905","10000572","C"
"906","10000572","A"
"907","10000573","A"
"908","10000573","C"
"909","10000574","C"
"910","10000575","A"
"911","10000575","C"
"912","10000576","A"
"913","10000576","C"
"914","10000576","G"
"915","10000577","C"
"916","10000577","A"
"917","10000578","C"
"918","10000578","D"
"919","10000579","C"
"920","10000580","C"
"921","10000581","A"
"922","10000581","C"
"923","10000581","G"
"924","10000582","C"
"925","10000582","A"
"926","10000583","C"
"927","10000584","C"
"928","10000585","C"
"929","10000585","D"
"930","10000586","C"
"931","10000587","D"
"932","10000587","C"
"933","10000587","B"
"934","10000588","C"
"935","10000588","B"
"936","10000589","C"
"937","10000590","C"
"938","10000591","C"
"939","10000592","C"
"940","10000593","C"
"941","10000594","C"
"942","10000595","C"
"943","10000596","C"
"944","10000596","B"
"945","10000597","C"
"946","10000597","D"
"947","10000598","C"
"948","10000599","C"
"949","10000600","C"
"950","10000600","B"
"951","10000601","C"
"952","10000602","C"
"953","10000603","C"
"954","10000604","C"
"955","10000604","G"
"956","10000605","C"
"957","10000606","C"
"958","10000607","C"
"959","10000607","B"
"960","10000608","C"
"961","10000609","C"
"962","10000609","D"
"963","10000610","C"
"964","10000611","C"
"965","10000612","C"
"966","10000613","C"
"967","10000614","C"
"968","10000615","B"
"969","10000615","C"
"970","10000616","B"
"971","10000616","C"
"972","10000616","H"
"973","10000617","C"
"974","10000617","B"
"975","10000618","C"
"976","10000618","A"
"977","10000618","B"
"978","10000618","D"
"979","10000619","C"
"980","10000619","F"
"981","10000620","C"
"982","10000621","C"
"983","10000621","F"
"984","10000622","C"
"985","10000622","H"
"986","10000623","C"
"987","10000624","C"
"988","10000624","H"
"989","10000625","C"
"990","10000625","D"
"991","10000626","C"
"992","10000628","C"
"993","10000628","G"
"994","10000629","C"
"995","10000630","C"
"996","10000630","B"
"997","10000631","C"
"998","10000632","C"
"999","10000633","C"
"1000","10000633","B"
"1001","10000634","C"
"1002","10000634","F"
"1003","10000635","C"
"1004","10000636","C"
"1005","10000637","C"
"1006","10000637","D"
"1007","10000638","C"
"1008","10000639","C"
"1009","10000639","B"
"1010","10000641","C"
"1011","10000642","F"
"1012","10000642","C"
"1013","10000642","G"
"1014","10000643","C"
"1015","10000644","H"
"1016","10000644","C"
"1017","10000644","B"
"1018","10000645","H"
"1019","10000645","C"
"1020","10000645","B"
"1021","10000646","B"
"1022","10000646","C"
"1023","10000647","C"
"1024","10000647","B"
